"REF_DATE","GEO","DGUID","Vehicle type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-12","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1187324","","","","0"
"2021-01","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","37677","","","","0"
"2021-02","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","43581","","","","0"
"2021-03","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","66492","","","","0"
"2021-04","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","61733","","","","0"
"2021-05","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","62590","","","","0"
"2021-06","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","68360","","","","0"
"2021-07","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","63349","","","","0"
"2021-08","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","62690","","","","0"
"2021-09","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","58259","","","","0"
"2021-10","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","52577","","","","0"
